GeoFIPS,GeoName,Region,TableName,LineCode,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
" ""02201"" ","Prince of Wales-Outer Ketchikan Census Area, AK*",8,CAGDP2,1,All industry total,Thousands of dollars,123653,128303,141079,148115,152128,151042,157645,168568,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
" ""02220"" ","Sitka City and Borough, AK",8,CAGDP2,1,All industry total,Thousands of dollars,297314,307794,328197,331435,349276,365059,371337,377920,408268,440278,462332,499040,525874,516760,518508,480677,486606,511852
" ""02230"" ","Skagway Municipality, AK*",8,CAGDP2,1,All industry total,Thousands of dollars,(NA),(NA),(NA),(NA),(NA),(NA),(NA),77631,78359,86254,86426,95333,96015,92793,83799,89041,94055,98293
" ""02232"" ","Skagway-Hoonah-Angoon Census Area, AK*",8,CAGDP2,1,All industry total,Thousands of dollars,100991,102008,105519,103230,112716,123666,132200,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
" ""02240"" ","Southeast Fairbanks Census Area, AK*",8,CAGDP2,1,All industry total,Thousands of dollars,240892,173495,193027,208831,306432,506087,687586,636834,675129,757441,756563,605413,595959,580077,509923,541144,624271,635523
" ""02261"" ","Valdez-Cordova Census Area, AK*",8,CAGDP2,1,All industry total,Thousands of dollars,408502,967859,1126808,1221249,1087242,1123268,1222619,888222,718864,709964,650354,1532217,2021962,2290555,2364088,2428299,2511937,2777388
" ""02275"" ","Wrangell City and Borough, AK*",8,CAGDP2,1,All industry total,Thousands of dollars,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),68227,76575,79476,79155,86371,89770,90815,94238,91161,97029
" ""02280"" ","Wrangell-Petersburg Census Area, AK*",8,CAGDP2,1,All industry total,Thousands of dollars,230692,223228,224949,216913,229620,259043,244389,228598,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
" ""02282"" ","Yakutat City and Borough, AK*",8,CAGDP2,1,All industry total,Thousands of dollars,21770,22260,22672,25759,26919,29072,34479,32504,31529,33480,34187,38019,44139,42752,37736,31479,30427,32592
" ""02290"" ","Yukon-Koyukuk Census Area, AK*",8,CAGDP2,1,All industry total,Thousands of dollars,278442,195190,201840,194583,193825,237052,293556,282105,279913,346323,412362,402084,302980,253635,261412,282293,285732,310007
" ""04000"" ",Arizona,6,CAGDP2,1,All industry total,Thousands of dollars,171474249,179413252,192751175,205420784,228231155,248230652,262322018,259366707,243929446,248209959,257947815,268288824,275199078,284429985,297141159,311091021,327495774,348297074
" ""04001"" ","Apache, AZ",6,CAGDP2,1,All industry total,Thousands of dollars,1626321,1611948,1714154,1735395,1853555,2030367,2169051,2410071,2511201,2729871,2822131,2728727,2807165,2693298,2716658,2719360,2818731,2983095
" ""04003"" ","Cochise, AZ",6,CAGDP2,1,All industry total,Thousands of dollars,2581941,2696592,2979991,3166229,3479954,3825753,4172857,4264587,4368532,4544253,4590615,4437565,4351656,4370420,4464700,4629088,4644318,4910034
" ""04005"" ","Coconino, AZ",6,CAGDP2,1,All industry total,Thousands of dollars,3781252,3908473,4098963,4373075,4771063,5263104,5798697,5758784,5701148,5956934,6398553,6155174,6454765,6542933,6766348,7016327,7532444,7718197
" ""04007"" ","Gila, AZ",6,CAGDP2,1,All industry total,Thousands of dollars,924572,939048,979147,1091089,1199456,1479291,1704476,1678621,1690925,1825542,2044508,1909738,2097102,2020334,1890211,1804763,1982298,2053238
" ""04009"" ","Graham, AZ",6,CAGDP2,1,All industry total,Thousands of dollars,393729,424555,467387,515921,563388,647812,816158,757471,712332,753563,822073,912285,859355,865848,883430,1027628,1128317,1234253
" ""04011"" ","Greenlee, AZ",6,CAGDP2,1,All industry total,Thousands of dollars,405507,384972,445276,612120,934987,1253774,1402095,1708726,1275991,1476411,1732302,1532472,1536077,1719699,1353442,1204827,1615689,1656478
" ""04012"" ","La Paz, AZ",6,CAGDP2,1,All industry total,Thousands of dollars,360548,377406,417431,479605,528422,571526,628461,576959,535541,536136,613128,586515,593989,568127,588461,627646,636421,669904
" ""04013"" ","Maricopa, AZ",6,CAGDP2,1,All industry total,Thousands of dollars,120805244,126556538,135948430,145801307,162358182,175744847,183058314,179467098,167142053,168871531,175818974,186117181,191435651,199120073,210206373,220788199,231877292,247622633
" ""04015"" ","Mohave, AZ",6,CAGDP2,1,All industry total,Thousands of dollars,2873798,3205971,3384526,3754981,4144398,4631013,4844254,4721551,4445685,4443753,4470839,4503558,4660985,4877513,5007147,5228844,5384504,5689377
" ""04017"" ","Navajo, AZ",6,CAGDP2,1,All industry total,Thousands of dollars,2035589,2139107,2300381,2315819,2659097,2939393,3167038,3146720,3209278,3195360,3344235,3315681,3386089,3359037,3409794,3372182,3594661,3824492
" ""04019"" ","Pima, AZ",6,CAGDP2,1,All industry total,Thousands of dollars,25027006,25373756,27415975,27699300,30313722,32553217,35186668,35739013,34043697,35069935,35486928,36431583,36793052,37636967,38369793,40131147,42469565,44876057
" ""04021"" ","Pinal, AZ",6,CAGDP2,1,All industry total,Thousands of dollars,2973657,3264775,3553059,3810634,4251681,4965646,5991371,6091521,5833997,5919780,6627660,6682699,6507831,6886870,6738471,6935550,7052179,7589136
" ""04023"" ","Santa Cruz, AZ",6,CAGDP2,1,All industry total,Thousands of dollars,968360,987129,1136063,1105958,1200133,1255078,1340332,1402040,1391637,1459308,1528829,1546534,1563666,1589124,1645502,1678111,1784463,1916776
" ""04025"" ","Yavapai, AZ",6,CAGDP2,1,All industry total,Thousands of dollars,3211656,3459331,3777450,4207992,4862926,5460766,5729183,5707903,5395971,5313197,5303629,5400875,5567484,5882715,6115092,6434123,6829024,7222136
" ""04027"" ","Yuma, AZ",6,CAGDP2,1,All industry total,Thousands of dollars,3505068,4083650,4132943,4751358,5110192,5609065,6313064,5935642,5671461,6114384,6343409,6028238,6584210,6297026,6985735,7493226,8145868,8331269
" ""05000"" ",Arkansas,5,CAGDP2,1,All industry total,Thousands of dollars,70601352,73950437,78218797,84624518,89609996,94384533,96948163,98955329,97058931,101690029,106085352,108745156,114251460,117336749,118761225,120374824,123383057,128418901
" ""05001"" ","Arkansas, AR",5,CAGDP2,1,All industry total,Thousands of dollars,569459,611705,688004,758181,715122,758482,743964,793744,873323,871876,894122,939725,1079557,1024534,1055575,1122000,1077468,1102976
" ""05003"" ","Ashley, AR",5,CAGDP2,1,All industry total,Thousands of dollars,624810,642397,638270,670932,710633,784996,804107,808452,812499,868999,915651,920808,1019013,1031789,993038,1025145,1034918,1081422
" ""05005"" ","Baxter, AR",5,CAGDP2,1,All industry total,Thousands of dollars,775383,817235,823682,863768,937469,1000244,1052183,1101061,1057635,1104308,1130861,1083263,1107494,1152110,1176460,1194583,1218493,1274823
" ""05007"" ","Benton, AR",5,CAGDP2,1,All industry total,Thousands of dollars,5095149,5704438,6133072,6927416,7680146,7961103,8184937,8358961,8326654,8859595,9268724,9989941,10981876,11760694,12453526,12822138,13713202,14336028
" ""05009"" ","Boone, AR",5,CAGDP2,1,All industry total,Thousands of dollars,816797,852899,850781,928500,985001,1059826,1087915,1092571,1030884,1094742,1128524,1127099,1120550,1163704,1180116,1201763,1226956,1300815
" ""05011"" ","Bradley, AR",5,CAGDP2,1,All industry total,Thousands of dollars,209790,224669,256241,285947,291762,275339,271622,254570,242910,279343,272220,301748,306442,325781,343837,337378,356425,373396
" ""05013"" ","Calhoun, AR",5,CAGDP2,1,All industry total,Thousands of dollars,249793,250548,262697,288544,294037,319576,318262,335067,346913,343256,321505,288221,303540,309491,342482,339081,357463,384923
" ""05015"" ","Carroll, AR",5,CAGDP2,1,All industry total,Thousands of dollars,522970,569176,565713,633755,636343,662329,661436,653998,602734,641942,652016,655935,722029,807869,795055,771657,846954,858095
